OBJECTID,Neighborhood Name,Region,Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
1,Adams-Normandie,South LA,16650,52013,679272,11.51,16.06,5.93,69.41,24.18,27.43,38,1906.447368,102.419598,1919.580402,1212,1920.073327,1093,0.034672,34.672,3.574353,998,82.343234,20.072993,3.047992,14.59854,2.747177
2,Arleta,San Fernando Valley & The Verdugos,32899,91370,572453,16.44,0.98,10.71,79.44,76.94,24.86,3,1953,66.896283,1955.103717,6807,1957.639367,6508,0.000461,0.461,0.379101,57,0.837373,0.460971,0.379101,0,0
3,Arlington Heights,South LA,19976,52908,867436,11.51,13.69,19.73,56.69,21.24,34.96,43,1914.837209,100.416667,1921.583333,1227,1923.935401,1162,0.036847,36.847,3.633542,1118,91.116544,19.708655,3.030552,17.137961,2.898007
4,Atwater Village,Northeast LA and the Eastside,13578,87301,827877,39.32,1.69,19.49,42.08,41,56.9,65,1927.609375,89.015007,1932.984993,2738,1939.585901,2597,0.025019,25.019,3.258836,2225,81.263696,13.856813,2.698459,11.162433,2.498352
5,Baldwin Hills/Crenshaw,South LA,31645,46084,781508,10.82,53.86,5.02,27.17,31.02,43.7,23,1949.565217,69.132454,1952.867546,4931,1955.599424,4517,0.005091,5.091,1.806771,102,2.068546,3.54139,1.513233,1.549358,0.935842
6,Bel-Air,Westside,7429,200001,2000001,76.4,2.06,10.15,5.88,83.57,83.01,13,1942,56.548483,1965.451517,3032,1966.312078,2368,0.00549,5.49,1.870242,277,9.135884,4.64527,1.730818,0.844595,0.61226
7,Beverly Crest,Westside,10502,200001,2000001,78.4,1.89,8.18,6.8,87.82,81.57,36,1943.75,57.430075,1964.569925,4656,1967.067644,3888,0.009259,9.259,2.328181,525,11.275773,6.687243,2.039562,2.572016,1.27313
8,Beverly Grove,Central LA,22189,110345,1268855,73.7,3.93,9.1,9.84,29.34,77.08,177,1933.241379,63.259091,1958.740909,4403,1949.04345,3140,0.056084,56.084,4.044518,2188,49.693391,47.21166,3.875601,8.87199,2.289701
9,Beverlywood,Westside,7030,188309,1703093,80.58,1.55,6.05,7.34,79.05,82.19,28,1950.111111,68.482001,1953.517999,2139,1957.058417,1883,0.014862,14.862,2.763926,354,16.54979,11.146497,2.497041,3.715499,1.550855
10,Boyle Heights,Northeast LA and the Eastside,87434,49779,576959,14.18,1.85,3.42,91.07,25.89,16.61,70,1916.953125,99.429664,1922.570336,6473,1927.652251,6179,0.011312,11.312,2.510592,5544,85.648077,4.848093,1.766116,6.464124,2.010108
11,Brentwood,Westside,33768,153880,2000001,77.46,1.59,9.32,7.57,50.37,84.82,86,1948.493671,53.674928,1968.325072,10091,1965.865157,6845,0.012549,12.549,2.606331,1227,12.15935,11.090034,2.492381,1.459215,0.899842
12,Broadway-Manchester,South LA,29339,41968,454467,7.65,25.04,0.42,71.74,30.58,12.53,8,1925,77.564954,1944.435046,3474,1940.878929,2856,0.0028,2.8,1.335038,2089,60.132412,1.750088,1.011633,1.050053,0.717865
13,Canoga Park,San Fernando Valley & The Verdugos,60935,68466,576776,26.46,5.34,13.13,57.71,27.75,35.34,5,1944.8,55.677575,1966.322425,7059,1961.429045,5123,0.000976,0.976,0.68107,230,3.258252,0.585594,0.460959,0.390396,0.329589
14,Koreatown,Central LA,4970,122937,1368895,64.06,6.84,8.19,15.98,41.56,72.99,48,1931.574468,90.604427,1931.395573,1039,1936.95813,1032,0.046467,46.467,3.860026,990,95.283927,36.78606,3.63194,9.680542,2.368424
15,Central-Alameda,South LA,43092,44364,474675,9.9,8.39,0.89,89.03,28.43,9.31,18,1918.25,96.316602,1925.683398,3661,1926.508166,3187,0.005643,5.643,1.893508,2891,78.967495,4.388715,1.684307,1.253918,0.81267
16,Century City,Westside,7311,157904,1345256,72.56,2.35,14.16,6.88,69.86,77.5,17,1933.9375,48.506741,1973.493259,3041,1964.526907,1691,0.010047,10.047,2.402184,355,11.673792,7.683215,2.161392,2.364066,1.21315
17,Chatsworth,San Fernando Valley & The Verdugos,49802,111162,743992,44.42,4.88,24.74,25.16,66.45,57.62,5,1969.8,42.308921,1979.691079,13272,1968.381464,8006,0.000625,0.625,0.48522,183,1.378843,0.499625,0.405215,0.124906,0.1177
18,Chatsworth Reservoir,San Fernando Valley & The Verdugos,50,150000,833333,50,2,6,30,78.57,50,1,1973,19.2625,2002.7375,80,1958.5,14,0.071429,71.429,4.282601,6,7.5,71.428571,4.282601,0,0
19,Chesterfield Square,South LA,7303,54852,632387,6.42,45.57,0.7,48.98,53.19,22.72,8,1926.125,92.876841,1929.123159,1494,1932.780841,1451,0.005513,5.513,1.873868,1390,93.038822,4.135079,1.636095,1.37836,0.866411
20,Cheviot Hills,Westside,7213,199427,2000001,72.37,2.32,10.88,10.15,75.87,81.71,39,1943.641026,72.595501,1949.404499,2267,1955.973619,2010,0.019403,19.403,3.015681,957,42.21438,15.422886,2.798676,3.9801,1.60545
21,Chinatown,Central LA,15873,38159,564130,15.3,14.92,35.6,35.78,6.37,32.48,0,,46.716749,1975.283251,407,1953.006135,163,0,0,0,64,15.724816,0,0,0,0
