OBJECTID,CT20,LABEL,Population Density (Pop Per Square Mile),Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Corresponding Zip Code,EBB Program Identifier (2021),EBB Program Identifier (2022),CenterLat,CenterLong,SS,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
1,101110,1011.1,10998,4851,75354,617895,61.12,1.44,9.34,28.51,50.67,37.4,2,1935.5,71.55925,1950.44075,1173,1942.21131,1008,0.001984,1.984,1.093307,379,32.310315,91042,1,1,34.259479,-118.292999,2.014,1.984127,1.093307236,0,0
2,101122,1011.22,3600.9,3676,106365,664960,72.06,0.79,11.37,14.83,81.93,47.72,1,1905,58.345605,1963.654395,1332,1956.415751,1092,0.000916,0.916,0.65011,132,9.90991,91042,1,1,34.267726,-118.290159,2.026,0,0,0.915751,0.65011
3,101220,1012.2,12207.3,3294,49215,605592,55.65,1.15,11.17,32.85,39.61,35.68,1,2017,68.611111,1953.388889,666,1940.440154,518,0.001931,1.931,1.075174,240,36.036036,91042,1,1,34.251613,-118.281645,1.984,1.930502,1.075173716,0,0
4,101221,1012.21,25192.3,3445,53384,650210,57.3,2.44,7.58,34.66,17.23,39.28,2,1923,52.686217,1969.313783,342,1947.823864,176,0.011364,11.364,2.51476,73,21.345029,91042,1,1,34.254334,-118.292589,2.003,11.363636,2.514759613,0,0
5,101222,1012.22,24204.5,2771,37917,520548,54.13,3.25,5.52,37.68,16.01,38.55,0,,42.610329,1979.389671,216,1945.111111,54,0,0,0,19,8.796296,91042,1,1,34.251357,-118.288538,1.992,0,0,0,0
6,101300,1013,4232.6,4217,102502,688530,77.52,0.62,8.75,11.64,87.58,47.02,8,1945.142857,62.940026,1959.059974,1537,1953.040832,1298,0.006163,6.163,1.968975,147,9.564086,91042,1,1,34.248783,-118.271011,1.97,4.622496,1.72677572,1.540832,0.932492
7,101400,1014,1588.1,3869,93469,684267,68.52,1.06,8.74,19.2,71.79,48.03,1,1924,64.710111,1957.289889,1270,1951.17963,1080,0.000926,0.926,0.655407,234,18.425197,91042,1,1,34.242857,-118.294174,1.994,0.925926,0.655406853,0,0
8,102103,1021.03,4531.8,2076,91515,678285,69.56,2.22,7.42,20.28,66.88,49.5,0,,63.205592,1958.794408,608,1955.118584,565,0,0,0,1,0.164474,91352,1,1,34.225084,-118.3542,2.061,0,0,0,0
9,102104,1021.04,6043.4,3870,99077,728814,72.22,2.12,10.78,14.42,72.59,54.63,0,,50.287946,1971.712054,1344,1970.476301,1287,0,0,0,0,0,91352,1,1,34.216192,-118.34541,2.022,0,0,0,0
10,102105,1021.05,9613.4,1829,73097,632994,37.29,1.37,10.01,55.99,51.35,38.19,1,1943,75.515892,1946.484108,409,1945.809406,404,0.002475,2.475,1.245666,21,5.134474,91505,1,1,34.209881,-118.349278,2.007,2.475248,1.245665707,0,0
11,102107,1021.07,792.7,3955,121016,825150,62.88,2.23,6.4,29.25,73.64,51.67,2,1954,60.116682,1961.883318,1104,1952.602579,853,0.002345,2.345,1.207367,156,14.130435,91352,1,1,34.240478,-118.33802,2.072,1.172333,0.775801679,1.172333,0.775802
12,103101,1031.01,3373.7,2644,106885,635548,71.97,0.91,7.56,19.4,85.95,55.53,0,,62.701973,1959.298027,964,1954.023725,843,0,0,0,49,5.082988,91040,1,1,34.273246,-118.3079,2.086,0,0,0,0
13,103102,1031.02,10036.4,4809,90164,630559,66.52,0.5,9.75,22.96,75.81,38.72,3,1943,67.606258,1954.393742,1536,1949.004396,1365,0.002198,2.198,1.162464,284,18.489583,91040,1,1,34.263389,-118.3074,2.057,0.732601,0.549623593,1.465201,0.902274
14,103201,1032.01,6114.6,4615,88506,609603,55.47,2.49,6.41,36.71,50.83,40.03,2,1943,63.133558,1958.866442,892,1954.121951,779,0.002567,2.567,1.271835,59,6.61435,91040,1,1,34.26565,-118.323639,2.113,2.567394,1.271835384,0,0
15,103202,1032.02,1095.4,2004,109926,809874,52.25,6.44,6.79,34.83,80.83,33.11,1,1958,62.36646,1959.63354,645,1957.142857,609,0.001642,1.642,0.97155,36,5.581395,91342,1,1,34.27494,-118.343512,2.22,0,0,1.642036,0.97155
16,103300,1033,1645,3901,135843,857479,69.65,1.33,6.28,22.2,86.09,58.79,4,1951.5,60.356009,1961.643991,1326,1951.657738,1008,0.003968,3.968,1.603068,136,10.25641,91040,1,1,34.257383,-118.35549,2.18,2.97619,1.380324194,0.992063,0.689171
17,103401,1034.01,4602.9,2491,112060,795161,66.68,1.49,10.44,21.4,64.27,54.37,3,1941.666667,57.58773,1964.41227,817,1959.225519,674,0.004451,4.451,1.695806,70,8.567931,91040,1,1,34.253974,-118.318397,2.059,1.48368,0.90974114,2.967359,1.378101
18,103402,1034.02,9190.1,3900,90585,673077,61.9,1.49,7.41,29.82,62.34,44.03,1,1950,70.102868,1951.897132,1011,1947.499456,919,0.001088,1.088,0.736273,180,17.804154,91040,1,1,34.255945,-118.30836,2.039,1.088139,0.736273374,0,0
19,104103,1041.03,10266,3762,102376,565436,17.17,10.13,6.99,69.91,82.79,32.94,0,,51.440244,1970.559756,820,1962.508711,574,0,0,0,3,0.365854,91342,1,1,34.282104,-118.392589,2.464,0,0,0,0
20,104105,1041.05,26193,5913,58807,565608,16.54,4.89,7.29,80.33,52.37,28.91,0,,33.133487,1988.866513,869,1962.990385,104,0,0,0,7,0.805524,91331,1,1,34.276153,-118.404698,2.473,0,0,0,0
21,104108,1041.08,12479.5,5284,61334,432963,14.97,8.42,4.09,81.89,40.67,23.38,1,1957,55.916399,1966.083601,622,1958.591753,485,0.002062,2.062,1.119021,3,0.482315,91331,1,1,34.273155,-118.398582,2.442,2.061856,1.11902116,0,0
22,104124,1041.24,2641.8,4570,100431,595312,38.99,8.71,6.24,50.24,82.82,43.7,0,,54.06428,1967.93572,1229,1953.954839,775,0,0,0,119,9.682669,91342,1,1,34.287288,-118.374843,2.413,0,0,0,0
23,104201,1042.01,10532.5,4433,69592,522232,11.12,7.22,1.6,88.7,69.55,11.39,0,,64.194263,1957.805737,767,1954.948895,724,0,0,0,32,4.172099,91340,1,1,34.286505,-118.416112,2.553,0,0,0,0
24,104203,1042.03,17907.1,4895,59478,465238,13.16,4.39,2.31,90.05,47.9,16.57,0,,53.693732,1968.306268,702,1956.567742,465,0,0,0,5,0.712251,91331,1,1,34.279063,-118.411566,2.502,0,0,0,0
25,104204,1042.04,3282.8,3377,80237,410619,17.65,5.72,7.37,76.7,66.49,17.42,0,,42.576744,1979.423256,430,1958.444444,207,0,0,0,9,2.093023,91342,1,1,34.289354,-118.395452,2.493,0,0,0,0
26,104310,1043.1,7579.6,4415,90715,476937,13.2,2.58,0.77,94.59,73.67,12.21,0,,66.957708,1955.042292,733,1952.419971,681,0,0,0,54,7.366985,91340,1,1,34.276378,-118.429293,2.519,0,0,0,0
27,104321,1043.21,15095.8,3030,52570,497778,12.15,3.17,3.3,91.42,31.28,11.03,0,,70.302273,1951.697727,440,1945.761039,385,0,0,0,97,22.045455,91331,1,1,34.271663,-118.418096,2.472,0,0,0,0
28,104322,1043.22,8395,2244,78740,463136,12.48,4.95,1.65,90.24,69.26,19.85,0,,68.407609,1953.592391,368,1951.847025,353,0,0,0,16,4.347826,91331,1,1,34.274244,-118.421887,2.493,0,0,0,0
