,COMBINED ADDRESS,USE TYPES,# OF UNITS,BUILDING SQFT,LAND SQFT,YEAR BUILT,EFFECTIVE YEAR BUILT
0,1328 HELEN DR LOS ANGELES CA 90063-3222,Single Family Residence,1,"1,176","4,365",1955,1964
1,10500 ALABAMA AVE LOS ANGELES CA 91311-2105,Single Family Residence,1,"1,968","7,500",1964,1964
2,13263 SIERRA HWY SAUGUS CA 91390-5045,Single Family Residence,1,"1,485","15,000",1950,1950
3,1316 E SLAUSON AVE LOS ANGELES CA 90011-4949,Commercial,0,"1,566",,1930,1938
4,21641 ARAPAHOE TRL CHATSWORTH CA 91311-1401,Single Family Residence,1,"1,273","5,184",1977,1977
5,4154 E CESAR E CHAVEZ AVE LOS ANGELES CA 90063-3437,Commercial,0,"2,065",,1927,1927
6,19347 DAKIN ST ROWLAND HEIGHTS CA 91748-4048,Single Family Residence,1,"1,390","9,120",1964,1970
7,15920 ALCIMA AVE LOS ANGELES CA 90272-2404,Single Family Residence,1,"4,101","20,535",1953,1962
8,3912 CHAPMAN CT ALTADENA CA 91001-3871,Single Family Residence,1,"3,832","10,434",2001,2001
9,8636 GRAHAM AVE LOS ANGELES CA 90002-1431,Industrial,1,"8,800","8,100",1923,1948
10,722 S ATLANTIC BLVD ALHAMBRA CA 91803-2257,Single Family Residence,1,"1,886",,1991,1991
11,29962 113TH ST E LITTLEROCK CA 93543-3604,Single Family Residence,1,"1,724","217,800",1951,1976
12,6318 N SAN GABRIEL BLVD SAN GABRIEL CA 91775-1632,Single Family Residence,1,"1,747","18,240",1967,1967
13,1720 KINNELOA CANYON RD PASADENA CA 91107-1024,Institutional,0,"17,040","256,620",1973,1973
14,30 N ROSEMEAD BLVD PASADENA CA 91107-3804,Commercial,0,"2,153","10,700",1964,1970
15,8825 BEACH ST LOS ANGELES CA 90002-1424,Industrial,0,"66,000","79,800",2004,2004
16,15033 CAMPILLOS RD LA MIRADA CA 90638-3912,Single Family Residence,1,"1,288","6,322",1955,1956
17,1070 NEW YORK DR ALTADENA CA 91001-3118,Single Family Residence,1,"2,717","18,894",1909,1920
18,2746 E FLORENCE AVE HUNTINGTON PARK CA 90255-5747,Commercial,1,"2,226",,1936,1990
19,5280 E BEVERLY BLVD LOS ANGELES CA 90022-2002,Commercial,4,"6,204",,1957,1990
20,461 W MENDOCINO ST ALTADENA CA 91001-4623,Single Family Residence,1,"1,052","9,650",1923,1923
21,3320 E LA JARA ST LONG BEACH CA 90805-3845,Single Family Residence,1,"1,636","6,000",1955,1969
22,3835 WHITTIER BLVD LOS ANGELES CA 90023-2430,Commercial,0,"6,144","4,250",1922,1950
23,"1115 SEPULVEDA BLVD, G101 TORRANCE CA 90502-2780",Condominium,1,796,,1973,1973
24,120 VIA VERDE SAN DIMAS CA 91773-3901,Other Property Type,,0,,,
25,2529 PALOMINO DR COVINA CA 91724-3805,Single Family Residence,1,"3,110","72,423",1994,1996
26,4057 CHARLENE DR LOS ANGELES CA 90043-1509,Single Family Residence,1,"1,475","10,250",1940,1940
27,1732 ARTEIQUE RD TOPANGA CA 90290-9697,Single Family Residence,,0,,,
28,656 ALBERTA ST ALTADENA CA 91001-5365,Single Family Residence,1,"1,150","7,550",1947,1965
29,7533 VAN NUYS BLVD LOS ANGELES CA 91405-1949,Institutional,,0,,,
30,7966 BEVERLY BLVD LOS ANGELES CA 90048-4511,Commercial,0,"23,358","11,000",1961,1961
31,14761 CALIFA ST LOS ANGELES CA 91411-3107,Industrial,,0,,,
32,14411 1/2 TERRA BELLA ST LOS ANGELES CA 91402-1496,Condominium,1,"1,250",,1987,1987
33,4200 SHADYGLADE AVE LOS ANGELES CA 91604-1639,Single Family Residence,1,"1,595","6,500",1938,1940
34,2108 N BRONSON AVE LOS ANGELES CA 90068-3513,Single Family Residence,1,"2,493","8,040",1926,1926
35,"210 S LA FAYETTE PARK PL, 210 LOS ANGELES CA 90057-1382",Condominium,1,472,,1970,1970
