,COMBINED ADDRESS,USE TYPES,# OF UNITS,BUILDING SQFT,LAND SQFT,YEAR BUILT,EFFECTIVE YEAR BUILT
0,3644 SAN PASQUAL ST PASADENA CA 91107-5419,Single Family Residence,1,"2,888","9,635",1937,1942
1,1333 LONG BEACH BLVD LONG BEACH 13 CALIF,Commercial,,0,,,
2,1960 KINCLAIR DR PASADENA CA 91107-1016,Single Family Residence,1,"3,249","26,910",1957,1962
3,1200 N STATE ST LOS ANGELES CA 90033-4525,Other Property Type,,0,,,
4,4497 N BANNER DR LONG BEACH CA 90807-2358,Multi-Family Residence,8,"5,168",,1947,1947
5,18615 MARCOLA DR LA PUENTE CA 91748-3661,Single Family Residence,1,"5,123","12,528",1960,2005
6,30015 ARLINE ST SANTA CLARITA CA 91351-1308,Single Family Residence,1,"3,192","217,440",2013,2013
7,461 S DOWNEY RD LOS ANGELES CA 90063-1511,Multi-Family Residence,1,"1,728","8,550",1926,1990
8,1328 HELEN DR LOS ANGELES CA 90063-3222,Single Family Residence,1,"1,176","4,365",1955,1964
9,505 W WOODBURY RD ALTADENA CA 91001-5409,Commercial,0,"26,800","80,520",1980,1980
10,21120 BANLYNN CT TOPANGA CANYON 90290-0000,Vacant Land,,0,,,
11,6528 ABBOTTSWOOD DR RNCHO PALOS VRDS CA 90275-3106,Single Family Residence,1,"1,856","7,957",1963,1964
12,609 FAXINA AVE LA PUENTE CA 91744-6156,Single Family Residence,1,"1,920","5,700",1979,1979
13,4504 W 61ST ST LOS ANGELES CA 90043-3344,Multi-Family Residence,4,"3,164",,1941,1941
14,1200 N STATE ST LOS ANGELES CA 90033-4525,Other Property Type,,0,,,
15,"10777 WILSHIRE BL, 202 LOS ANGELES CA 90211-0000",Condominium,1,"1,240",,2018,2018
16,13100 ELDRIDGE ST LOS ANGELES CA 91342-0000,Recreational,,0,,,
17,3931 LATIGO CANYON RD MALIBU CA 90265-2802,Single Family Residence,,0,"15,552",,
18,7542 MAIE AVE LOS ANGELES CA 90001-2637,Industrial,0,"2,400","36,830",1941,1941
19,3371 RUBIO CANYON RD ALTADENA CA 91001-1525,Other Property Type,0,360,"114,600",1925,1925
20,1601 ROLLING GREENS WAY WHITTIER CA 90601-1001,Vacant Land,,0,"84,972",,
21,14920 S MAIN ST GARDENA CA 90248-1921,Industrial,0,"21,170",,1960,1960
22,20546 E RENSHAW ST COVINA CA 91724-3149,Single Family Residence,1,"2,550","42,218",1941,1945
23,3932 SOURDOUGH RD ACTON CA 93510-1269,Single Family Residence,,0,,,
24,2229 WALTONIA DR MONTROSE CA 91020-1219,Single Family Residence,1,"3,650","10,200",1915,1990
25,24500 MAIN ST NEWHALL CA 91321 SANTA CLARITA CA 91321-0000,Commercial,,0,"16,632",,
